hadith_slug,book_title,hadith_number,chain_number,position,raw_name,narrator_slug,transmission_word,match_confidence,match_notes,raw_chain_text,continuity_status,quality_status,notes,verified
first-revelation-at-hira,Sahih Muslim,160a,1,5,Abd Allah ibn Wahb,abdullah-ibn-wahb,haddathana,1.0000,"Egyptian hadith master","حدثني أبو الطاهر أحمد بن عمرو بن سرح حدثنا ابن وهب أخبرني يونس عن ابن شهاب حدثني عروة بن الزبير أن عائشة زوج النبي أخبرته",muttasil,sahih,"Primary canonical chain in Sahih Muslim",true
first-revelation-at-hira,Sahih Muslim,160a,1,6,Abu al-Tahir ibn Sarh,abu-al-tahir-ibn-sarh,haddathani,1.0000,"Teacher of Imam Muslim","حدثني أبو الطاهر أحمد بن عمرو بن سرح حدثنا ابن وهب أخبرني يونس عن ابن شهاب حدثني عروة بن الزبير أن عائشة زوج النبي أخبرته",muttasil,sahih,"Primary canonical chain in Sahih Muslim",true
first-revelation-at-hira,Sahih al-Bukhari,4,1,1,Jabir ibn Abd Allah,jabir-ibn-abdullah,akhbarani,1.0000,"Companion narrator of Fatrat al-Wahy","حدثنا يحيى بن بكير حدثنا الليث عن عقيل عن ابن شهاب سمعت أبا سلمة بن عبد الرحمن يقول أخبرني جابر بن عبد الله الأنصاري",muttasil,sahih,"Intermission report chain",true
first-revelation-at-hira,Sahih al-Bukhari,4,1,2,Abu Salama ibn Abd al-Rahman,abu-salama-ibn-abd-al-rahman,qala,1.0000,"Medinan Successor jurist","حدثنا يحيى بن بكير حدثنا الليث عن عقيل عن ابن شهاب سمعت أبا سلمة بن عبد الرحمن يقول أخبرني جابر بن عبد الله الأنصاري",muttasil,sahih,"Intermission report chain",true
first-revelation-at-hira,Sahih al-Bukhari,4,1,3,Ibn Shihab al-Zuhri,ibn-shihab-al-zuhri,an,1.0000,"al-Zuhri","حدثنا يحيى بن بكير حدثنا الليث عن عقيل عن ابن شهاب سمعت أبا سلمة بن عبد الرحمن يقول أخبرني جابر بن عبد الله الأنصاري",muttasil,sahih,"Intermission report chain",true
first-revelation-at-hira,Sahih al-Bukhari,4,1,4,Uqayl ibn Khalid,uqayl-ibn-khalid,an,1.0000,"Uqayl al-Ayli","حدثنا يحيى بن بكير حدثنا الليث عن عقيل عن ابن شهاب سمعت أبا سلمة بن عبد الرحمن يقول أخبرني جابر بن عبد الله الأنصاري",muttasil,sahih,"Intermission report chain",true
first-revelation-at-hira,Sahih al-Bukhari,4,1,5,Al-Layth ibn Sa'd,al-layth-ibn-sad,haddathana,1.0000,"Imam al-Layth","حدثنا يحيى بن بكير حدثنا الليث عن عقيل عن ابن شهاب سمعت أبا سلمة بن عبد الرحمن يقول أخبرني جابر بن عبد الله الأنصاري",muttasil,sahih,"Intermission report chain",true
first-revelation-at-hira,Sahih al-Bukhari,4,1,6,Yahya ibn Bukayr,yahya-ibn-bukayr,haddathana,1.0000,"Yahya ibn Bukayr","حدثنا يحيى بن بكير حدثنا الليث عن عقيل عن ابن شهاب سمعت أبا سلمة بن عبد الرحمن يقول أخبرني جابر بن عبد الله الأنصاري",muttasil,sahih,"Intermission report chain",true
first-revelation-at-hira,Al-Kafi,Vol 1 Book 4 Hadith 1129,1,1,Ja'far al-Sadiq,jafar-al-sadiq,qala,1.0000,"Sixth Imam of Ahl al-Bayt","علي بن إبراهيم عن أبيه عن ابن أبي عمير عن هشام بن سالم عن زرارة عن أبي عبد الله عليه السلام",muttasil,sahih,"Twelver Shia chain in Al-Kafi",true
first-revelation-at-hira,Al-Kafi,Vol 1 Book 4 Hadith 1129,1,2,Zurarah ibn A'yan,zurarah-ibn-ayan,an,1.0000,"Foremost companion of al-Sadiq","علي بن إبراهيم عن أبيه عن ابن أبي عمير عن هشام بن سالم عن زرارة عن أبي عبد الله عليه السلام",muttasil,sahih,"Twelver Shia chain in Al-Kafi",true
first-revelation-at-hira,Al-Kafi,Vol 1 Book 4 Hadith 1129,1,3,Hisham ibn Salim,hisham-ibn-salim,an,1.0000,"Trusted Kufan narrator","علي بن إبراهيم عن أبيه عن ابن أبي عمير عن هشام بن سالم عن زرارة عن أبي عبد الله عليه السلام",muttasil,sahih,"Twelver Shia chain in Al-Kafi",true
first-revelation-at-hira,Al-Kafi,Vol 1 Book 4 Hadith 1129,1,4,Muhammad ibn Abi Umayr,muhammad-ibn-abi-umayr,an,1.0000,"Ashab al-Ijma","علي بن إبراهيم عن أبيه عن ابن أبي عمير عن هشام بن سالم عن زرارة عن أبي عبد الله عليه السلام",muttasil,sahih,"Twelver Shia chain in Al-Kafi",true
first-revelation-at-hira,Al-Kafi,Vol 1 Book 4 Hadith 1129,1,5,Ibrahim ibn Hashim,ibrahim-ibn-hashim,an,1.0000,"Eminent transmitter of Qom","علي بن إبراهيم عن أبيه عن ابن أبي عمير عن هشام بن سالم عن زرارة عن أبي عبد الله عليه السلام",muttasil,sahih,"Twelver Shia chain in Al-Kafi",true
first-revelation-at-hira,Al-Kafi,Vol 1 Book 4 Hadith 1129,1,6,Ali ibn Ibrahim,ali-ibn-ibrahim,haddathana,1.0000,"Teacher of al-Kulayni","علي بن إبراهيم عن أبيه عن ابن أبي عمير عن هشام بن سالم عن زرارة عن أبي عبد الله عليه السلام",muttasil,sahih,"Twelver Shia chain in Al-Kafi",true
first-revelation-at-hira,Nahj al-Balagha,Sermon 192,1,1,Ali ibn Abi Talib,ali-ibn-abi-talib,qala,1.0000,"Firsthand witness and companion at Hira","الشريف الرضي عن أمير المؤمنين علي بن أبي طالب عليه السلام",muttasil,mashhur,"Nahj al-Balagha Sermon 192",true
first-revelation-at-hira,Nahj al-Balagha,Sermon 192,1,2,Al-Sharif al-Radi,sharif-al-radi,rawahu,1.0000,"Compiler of Nahj al-Balagha","الشريف الرضي عن أمير المؤمنين علي بن أبي طالب عليه السلام",muttasil,mashhur,"Nahj al-Balagha Sermon 192",true
banner-at-khaybar,Sahih al-Bukhari,4210,1,1,Sahl ibn Sa'd,,,,"Leave narrator_slug empty until identity is reviewed",,unverified,unverified,Illustrative chain template,false
